q_id,query,linked_word,paragraph_text,gold_article_id,faiss_rank,rerank_rank,faiss_article_ids,rerank_article_ids
11,Retrieve the correct article for the term 'Chernobyl' given this context: Sister Pictures is a production company of Chernobyl .,Chernobyl,Sister Pictures is a production company of Chernobyl .,146,3,40,150|179|146|155|149|153|152|175|181|151|154|177|182|174|178|183|180|1|176|191|148|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,148|176|175|177|174|178|180|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|181|1|182|146|183|154|179|149|153|155|187|151|152|150
12,Retrieve the correct article for the term 'Chernobyl' given this context: Sky UK is a production company of Chernobyl .,Chernobyl,Sky UK is a production company of Chernobyl .,146,4,40,151|149|155|146|153|152|179|150|175|154|181|174|178|177|1|180|182|176|183|191|148|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,148|176|177|175|174|178|147|180|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|181|1|182|146|183|154|179|153|149|155|150|187|152|151
13,Retrieve the correct article for the term 'Chernobyl' given this context: The Mighty Mint is a production company of Chernobyl .,Chernobyl,The Mighty Mint is a production company of Chernobyl .,146,2,40,152|146|155|179|149|153|150|175|154|151|181|178|177|174|182|1|176|191|183|180|148|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,148|175|176|177|174|178|180|147|181|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|182|146|183|154|149|179|153|155|150|187|151|152
14,Retrieve the correct article for the term 'Chernobyl' given this context: Word Games is a production company of Chernobyl .,Chernobyl,Word Games is a production company of Chernobyl .,146,2,40,153|146|149|179|155|150|152|175|154|151|181|178|174|177|1|191|182|180|176|183|148|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,148|176|177|175|174|178|147|180|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|181|1|182|146|183|154|179|155|149|187|150|151|152|153
15,Retrieve the correct article for the term 'Chernobyl' given this context: Hildur Guðnadóttir is the composer of the score of Chernobyl .,Chernobyl,Hildur Guðnadóttir is the composer of the score of Chernobyl .,146,2,11,154|146|179|175|149|152|153|174|181|155|178|177|150|191|182|176|151|180|183|1|148|187|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,176|175|177|148|174|178|180|147|181|1|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|182|183|153|179|152|155|150|149|151|187|154
16,Retrieve the correct article for the term 'Chernobyl' given this context: Warner Bros. Television Distribution is the distribution company of Chernobyl .,Chernobyl,Warner Bros. Television Distribution is the distribution company of Chernobyl .,146,3,40,155|149|146|179|153|150|152|175|151|181|154|178|174|177|1|182|183|191|180|176|148|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,148|176|177|175|174|178|147|180|181|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|182|146|183|154|153|179|149|150|152|187|151|155
17,"Retrieve the correct article for the term 'Johan Renck' given this context: Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",Johan Renck,"Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",148,3,6,146|181|148|174|183|175|180|177|182|178|179|154|149|176|191|152|155|147|150|1|153|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|174|176|175|178|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|153|155|149|151|179|152|150|187
18,"Retrieve the correct article for the term 'Craig Mazin' given this context: Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",Craig Mazin,"Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",147,12,9,146|181|183|180|174|182|148|179|175|178|149|147|177|155|176|154|150|152|191|1|153|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|174|176|175|178|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|153|151|149|179|152|150|187
19,"Retrieve the correct article for the term 'Episode 2' given this context: Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",Episode 2,"Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",175,6,4,183|181|146|180|182|175|174|149|179|178|148|177|155|176|154|191|150|1|152|153|147|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,174|177|176|175|178|148|180|147|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|155|153|154|151|149|179|150|152|187
20,"Retrieve the correct article for the term 'Episode 2' given this context: Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",Episode 2,"Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",175,6,4,183|181|146|180|182|175|174|149|179|178|148|177|155|176|154|191|150|1|152|153|147|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,174|177|176|175|178|148|180|147|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|155|153|154|151|149|179|150|152|187
21,"Retrieve the correct article for the term 'Episode 3' given this context: Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",Episode 3,"Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",176,14,2,183|181|146|180|182|175|174|179|178|149|148|177|155|176|154|1|150|191|152|153|147|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|175|178|148|180|147|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|155|154|153|151|149|179|152|150|187
22,"Retrieve the correct article for the term 'Episode 4' given this context: Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",Episode 4,"Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",177,11,3,183|181|146|180|182|174|175|179|178|149|177|148|155|176|191|150|154|1|152|147|153|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,176|174|177|175|178|148|180|147|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|155|154|153|151|149|179|150|152|187
23,"Retrieve the correct article for the term 'Episode 5' given this context: Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",Episode 5,"Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",178,6,5,183|181|146|182|180|178|175|174|179|149|177|148|155|176|154|1|150|152|191|153|147|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|175|178|148|180|147|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|155|154|153|151|179|149|152|150|187
24,"Retrieve the correct article for the term 'Chernobyl' given this context: Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",Chernobyl,"Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",146,1,9,146|181|175|179|183|149|174|180|178|155|182|177|154|150|152|153|176|191|148|151|1|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|174|176|175|178|148|180|147|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|153|149|151|152|150|179|187
25,"Retrieve the correct article for the term 'Craig Mazin' given this context: Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",Craig Mazin,"Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",147,12,9,146|181|183|180|174|182|148|179|175|178|149|147|177|155|176|154|150|152|191|1|153|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|174|176|175|178|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|153|151|149|179|152|150|187
26,"Retrieve the correct article for the term 'Johan Renck' given this context: Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",Johan Renck,"Episode 1 "" 1:23:45 "" Name 1:23:45 Release date May 6, 2019 Runtime 56 minutes Director Johan Renck Writer Craig Mazin Episode guide Next Episode 2 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 1 "" (named "" 1:23:45 "") is the first episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 6, 2019 on the US pay TV channel HBO.",148,3,6,146|181|148|174|183|175|180|177|182|178|179|154|149|176|191|152|155|147|150|1|153|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|174|176|175|178|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|153|155|149|151|179|152|150|187
27,"Retrieve the correct article for the term 'Johan Renck' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Johan Renck,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",148,3,6,175|181|148|174|180|146|177|183|178|182|179|176|154|147|149|152|191|150|155|187|1|153|151|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|175|178|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|153|149|152|151|150|179|187
