q_id,query,linked_word,paragraph_text,correct_article_id,correct_title,found_rank,retrieved_article_ids,retrieved_scores
30,"Retrieve the correct article for the term 'Episode 3' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Episode 3,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",176,Episode 3,13,183|181|180|175|146|182|177|174|178|179|148|149|176|155|154|147|191|150|152|1|153|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.583332|0.554027|0.532987|0.523606|0.482563|0.460467|0.430614|0.423840|0.413715|0.387851|0.378093|0.372245|0.356865|0.295938|0.278568|0.271051|0.267946|0.264155|0.258760|0.238463|0.206322|0.197309|0.089577|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
31,"Retrieve the correct article for the term 'Episode 1' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Episode 1,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",174,Episode 1,7,183|181|180|175|146|182|174|177|178|179|149|148|176|155|154|191|150|152|147|1|151|153|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.575988|0.535345|0.524868|0.509594|0.476572|0.434571|0.412418|0.410517|0.399219|0.371307|0.365786|0.363388|0.316714|0.281004|0.270719|0.263622|0.261179|0.251002|0.245733|0.233419|0.193784|0.188516|0.081245|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
32,"Retrieve the correct article for the term 'Episode 3' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Episode 3,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",176,Episode 3,13,183|181|180|175|146|182|177|174|178|179|148|149|176|155|154|147|191|150|152|1|153|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.583332|0.554027|0.532987|0.523606|0.482563|0.460467|0.430614|0.423840|0.413715|0.387851|0.378093|0.372245|0.356865|0.295938|0.278568|0.271051|0.267946|0.264155|0.258760|0.238463|0.206322|0.197309|0.089577|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
33,"Retrieve the correct article for the term 'Episode 4' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Episode 4,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",177,Episode 4,8,183|181|180|175|146|182|174|177|178|179|149|148|176|147|155|191|154|150|152|1|151|153|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.567568|0.543125|0.527209|0.502012|0.479597|0.435827|0.435312|0.432293|0.396763|0.375617|0.358194|0.352069|0.327374|0.272675|0.272607|0.269586|0.260792|0.259746|0.253186|0.224937|0.194658|0.189299|0.100437|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
34,"Retrieve the correct article for the term 'Episode 5' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Episode 5,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",178,Episode 5,7,183|181|175|180|182|146|178|177|174|179|149|148|176|155|154|150|152|191|147|1|153|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.517155|0.492543|0.482911|0.481646|0.455728|0.436110|0.419120|0.405033|0.397297|0.360584|0.344213|0.333159|0.312814|0.265955|0.259941|0.249475|0.246085|0.237460|0.228351|0.224218|0.190142|0.178435|0.070848|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
35,"Retrieve the correct article for the term 'Chernobyl' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Chernobyl,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",146,Chernobyl,2,175|146|181|180|179|183|174|177|149|178|182|154|155|150|152|176|153|191|151|148|1|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.659492|0.650059|0.588217|0.546958|0.537836|0.524574|0.515554|0.506234|0.501083|0.489061|0.467541|0.437006|0.432739|0.410939|0.408009|0.399120|0.358090|0.353085|0.342491|0.337279|0.275792|0.266223|0.060395|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
36,"Retrieve the correct article for the term 'Craig Mazin' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Craig Mazin,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",147,Craig Mazin,7,181|180|175|183|146|174|147|182|177|148|178|179|149|176|152|154|155|150|191|153|1|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.448472|0.446880|0.446842|0.435035|0.425784|0.405302|0.393071|0.382402|0.379052|0.373856|0.363099|0.334588|0.320419|0.290574|0.243727|0.242970|0.235105|0.224234|0.223057|0.179984|0.170337|0.162914|0.131755|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
37,"Retrieve the correct article for the term 'Johan Renck' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Johan Renck,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",148,Johan Renck,3,175|181|148|174|180|146|177|183|178|182|179|176|154|147|149|152|191|150|155|187|1|153|151|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.494170|0.492175|0.491298|0.469408|0.458634|0.454764|0.448628|0.429439|0.398269|0.395956|0.362843|0.318573|0.317726|0.294642|0.273712|0.259216|0.254602|0.216919|0.206836|0.202250|0.183561|0.167216|0.163566|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
38,"Retrieve the correct article for the term 'Johan Renck' given this context: Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",Johan Renck,"Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",148,Johan Renck,2,146|148|181|174|183|180|175|182|177|178|176|179|147|154|149|191|152|155|150|151|1|153|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.527212|0.524253|0.519579|0.493475|0.478600|0.469514|0.440275|0.427058|0.423753|0.409039|0.407083|0.383916|0.336653|0.323798|0.307535|0.276377|0.270335|0.259503|0.253674|0.250962|0.239171|0.230931|0.159026|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
39,"Retrieve the correct article for the term 'Craig Mazin' given this context: Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",Craig Mazin,"Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",147,Craig Mazin,5,146|183|181|180|147|174|182|148|176|175|178|149|179|177|155|150|151|152|153|154|191|1|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.491780|0.470949|0.459151|0.443694|0.431360|0.413291|0.405246|0.392733|0.376766|0.372019|0.358687|0.352357|0.343737|0.336342|0.283304|0.252159|0.249685|0.242320|0.241343|0.240878|0.234871|0.228644|0.080785|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
40,"Retrieve the correct article for the term 'Episode 2' given this context: Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",Episode 2,"Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",175,Episode 2,6,183|146|181|180|182|175|174|176|178|149|179|148|177|155|147|150|1|151|191|154|153|152|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,0.600417|0.543397|0.539034|0.506536|0.455615|0.434950|0.415543|0.409238|0.392867|0.390657|0.380402|0.370616|0.362465|0.320372|0.301121|0.286730|0.284966|0.279562|0.278682|0.270784|0.264289|0.257026|0.028401|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000|-340282346638528859811704183484516925440.000000
